character,code_point,unicode_name
च्,,
त्,,
ग्,,
व्,,
स्,,
Ꮝ,U+13CD,CHEROKEE LETTER S
Ꮏ,U+13BF,CHEROKEE LETTER HNA
Ꮐ,U+13C0,CHEROKEE LETTER NAH
Ꮣ,U+13D3,CHEROKEE LETTER DA
Ꮬ,U+13DC,CHEROKEE LETTER DLA
Ꭶ,U+13A6,CHEROKEE LETTER GA
Ꭽ,U+13AD,CHEROKEE LETTER HA
Ꭷ,U+13A7,CHEROKEE LETTER KA
Ꮃ,U+13B3,CHEROKEE LETTER LA
Ꮉ,U+13B9,CHEROKEE LETTER MA
Ꮎ,U+13BE,CHEROKEE LETTER NA
Ꮖ,U+13C6,CHEROKEE LETTER QUA
Ꮜ,U+13CC,CHEROKEE LETTER SA
Ꮤ,U+13D4,CHEROKEE LETTER TA
Ꮭ,U+13DD,CHEROKEE LETTER TLA
Ꮳ,U+13E3,CHEROKEE LETTER TSA
Ꮹ,U+13E9,CHEROKEE LETTER WA
Ꮿ,U+13EF,CHEROKEE LETTER YA
Ꮥ,U+13D5,CHEROKEE LETTER DE
Ꭸ,U+13A8,CHEROKEE LETTER GE
Ꭾ,U+13AE,CHEROKEE LETTER HE
Ꮄ,U+13B4,CHEROKEE LETTER LE
Ꮊ,U+13BA,CHEROKEE LETTER ME
Ꮑ,U+13C1,CHEROKEE LETTER NE
Ꮗ,U+13C7,CHEROKEE LETTER QUE
Ꮞ,U+13CE,CHEROKEE LETTER SE
Ꮦ,U+13D6,CHEROKEE LETTER TE
Ꮮ,U+13DE,CHEROKEE LETTER TLE
Ꮴ,U+13E4,CHEROKEE LETTER TSE
Ꮺ,U+13EA,CHEROKEE LETTER WE
Ᏸ,U+13F0,CHEROKEE LETTER YE
Ꮧ,U+13D7,CHEROKEE LETTER DI
Ꭹ,U+13A9,CHEROKEE LETTER GI
Ꭿ,U+13AF,CHEROKEE LETTER HI
Ꮅ,U+13B5,CHEROKEE LETTER LI
Ꮋ,U+13BB,CHEROKEE LETTER MI
Ꮒ,U+13C2,CHEROKEE LETTER NI
Ꮘ,U+13C8,CHEROKEE LETTER QUI
Ꮟ,U+13CF,CHEROKEE LETTER SI
Ꮨ,U+13D8,CHEROKEE LETTER TI
Ꮯ,U+13DF,CHEROKEE LETTER TLI
Ꮵ,U+13E5,CHEROKEE LETTER TSI
Ꮻ,U+13EB,CHEROKEE LETTER WI
Ᏹ,U+13F1,CHEROKEE LETTER YI
Ꮩ,U+13D9,CHEROKEE LETTER DO
Ꭺ,U+13AA,CHEROKEE LETTER GO
Ꮀ,U+13B0,CHEROKEE LETTER HO
Ꮆ,U+13B6,CHEROKEE LETTER LO
Ꮌ,U+13BC,CHEROKEE LETTER MO
Ꮓ,U+13C3,CHEROKEE LETTER NO
Ꮙ,U+13C9,CHEROKEE LETTER QUO
Ꮠ,U+13D0,CHEROKEE LETTER SO
Ꮰ,U+13E0,CHEROKEE LETTER TLO
Ꮶ,U+13E6,CHEROKEE LETTER TSO
Ꮼ,U+13EC,CHEROKEE LETTER WO
Ᏺ,U+13F2,CHEROKEE LETTER YO
Ꮪ,U+13DA,CHEROKEE LETTER DU
Ꭻ,U+13AB,CHEROKEE LETTER GU
Ꮁ,U+13B1,CHEROKEE LETTER HU
Ꮇ,U+13B7,CHEROKEE LETTER LU
Ꮍ,U+13BD,CHEROKEE LETTER MU
Ꮔ,U+13C4,CHEROKEE LETTER NU
Ꮚ,U+13CA,CHEROKEE LETTER QUU
Ꮡ,U+13D1,CHEROKEE LETTER SU
Ꮱ,U+13E1,CHEROKEE LETTER TLU
Ꮷ,U+13E7,CHEROKEE LETTER TSU
Ꮽ,U+13ED,CHEROKEE LETTER WU
Ᏻ,U+13F3,CHEROKEE LETTER YU
Ꮫ,U+13DB,CHEROKEE LETTER DV
Ꭼ,U+13AC,CHEROKEE LETTER GV
Ꮂ,U+13B2,CHEROKEE LETTER HV
Ꮈ,U+13B8,CHEROKEE LETTER LV
Ꮕ,U+13C5,CHEROKEE LETTER NV
Ꮛ,U+13CB,CHEROKEE LETTER QUV
Ꮢ,U+13D2,CHEROKEE LETTER SV
Ꮲ,U+13E2,CHEROKEE LETTER TLV
Ꮸ,U+13E8,CHEROKEE LETTER TSV
Ꮾ,U+13EE,CHEROKEE LETTER WV
Ᏼ,U+13F4,CHEROKEE LETTER YV
¤,U+00A4,CURRENCY SIGN
 ̉,,
₫,U+20AB,DONG SIGN
 ̣,,
Ắ,U+1EAE,LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
Ấ,U+1EA4,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
Ế,U+1EBE,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
Ố,U+1ED0,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
Ớ,U+1EDA,LATIN CAPITAL LETTER O WITH HORN AND ACUTE
Ứ,U+1EE8,LATIN CAPITAL LETTER U WITH HORN AND ACUTE
ắ,U+1EAF,LATIN SMALL LETTER A WITH BREVE AND ACUTE
ấ,U+1EA5,LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
ế,U+1EBF,LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
ố,U+1ED1,LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
ớ,U+1EDB,LATIN SMALL LETTER O WITH HORN AND ACUTE
ứ,U+1EE9,LATIN SMALL LETTER U WITH HORN AND ACUTE
Ặ,U+1EB6,LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
Ậ,U+1EAC,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
Ệ,U+1EC6,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
Ộ,U+1ED8,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
Ợ,U+1EE2,LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
Ự,U+1EF0,LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
ặ,U+1EB7,LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
ậ,U+1EAD,LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
ệ,U+1EC7,LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
ộ,U+1ED9,LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
ợ,U+1EE3,LATIN SMALL LETTER O WITH HORN AND DOT BELOW
ự,U+1EF1,LATIN SMALL LETTER U WITH HORN AND DOT BELOW
Ằ,U+1EB0,LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
Ầ,U+1EA6,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
Ề,U+1EC0,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
Ồ,U+1ED2,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
Ờ,U+1EDC,LATIN CAPITAL LETTER O WITH HORN AND GRAVE
Ừ,U+1EEA,LATIN CAPITAL LETTER U WITH HORN AND GRAVE
ằ,U+1EB1,LATIN SMALL LETTER A WITH BREVE AND GRAVE
ầ,U+1EA7,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
ề,U+1EC1,LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
ồ,U+1ED3,LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
ờ,U+1EDD,LATIN SMALL LETTER O WITH HORN AND GRAVE
ừ,U+1EEB,LATIN SMALL LETTER U WITH HORN AND GRAVE
Ẳ,U+1EB2,LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
Ẩ,U+1EA8,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
Ể,U+1EC2,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
Ổ,U+1ED4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
Ở,U+1EDE,LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
Ử,U+1EEC,LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
ẳ,U+1EB3,LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
ẩ,U+1EA9,LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
ể,U+1EC3,LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
ổ,U+1ED5,LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
ở,U+1EDF,LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
ử,U+1EED,LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
Ẵ,U+1EB4,LATIN CAPITAL LETTER A WITH BREVE AND TILDE
Ẫ,U+1EAA,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
Ễ,U+1EC4,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
Ỗ,U+1ED6,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
Ỡ,U+1EE0,LATIN CAPITAL LETTER O WITH HORN AND TILDE
Ữ,U+1EEE,LATIN CAPITAL LETTER U WITH HORN AND TILDE
ẵ,U+1EB5,LATIN SMALL LETTER A WITH BREVE AND TILDE
ẫ,U+1EAB,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
ễ,U+1EC5,LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
ỗ,U+1ED7,LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
ỡ,U+1EE1,LATIN SMALL LETTER O WITH HORN AND TILDE
ữ,U+1EEF,LATIN SMALL LETTER U WITH HORN AND TILDE
